Genes	Uniprot	Protein	Color	0_point	30_seconds	5_minutes	30_minutes
ACTB	P60709	Actin, cytoplasmic 1	grey	0.875981297979735	0.794221746645814	0.611378827918545	0.341758820431806
RPL15	P61313	60S ribosomal protein L15	grey	0.947321287467734	0.894886214327009	0.71466887322738	0.464708212446605
MAGOH	P61326	Protein mago nashi homolog	grey	0.9260683128789	0.860714534438331	0.777109105093057	0.532928538066324
RPL27	P61353	60S ribosomal protein L27	grey	0.916261932674594	0.883986681671056	0.78011829635656	0.518906956605408
HNRNPK	P61978	Heterogeneous nuclear ribonucleoprotein K	grey	0.907958802359936	0.765944997074313	0.477462978252009	0.180240517432185
RPS8	P62241	40S ribosomal protein S8	grey	0.962255605042651	0.28170723823616	0.194684920475136	0.105969442035529
NA, RPS15A	H3BN98, P62244	Uncharacterized protein, 40S ribosomal protein S15a	grey	0.813126027806847	0.776915183152635	0.541263360704619	0.178975196840697
RPS16	P62249	40S ribosomal protein S16	grey	0.907663896583564	0.904597448935785	0.74833903764848	0.505073001732244
RPS18	P62269	40S ribosomal protein S18	grey	0.871595680478691	0.829039372232575	0.756210536580609	0.458305797211358
RPS13	P62277	40S ribosomal protein S13	grey	0.886517096199458	0.834346580085146	0.638610819992049	0.220394480392921
RPS11	P62280	40S ribosomal protein S11	grey	0.91620579855874	0.780161800914527	0.615517705409666	0.250279270971563
SNRPE	P62304	Small nuclear ribonucleoprotein E	grey	0.967381022278762	0.903898824682626	0.796652906846697	0.546382399637106
SNRPD1	P62314	Small nuclear ribonucleoprotein Sm D1	grey	0.947257383966245	0.898155597877563	0.784296807592752	0.545991101425588
SNRPD2	P62316	Small nuclear ribonucleoprotein Sm D2	grey	0.96420517593156	0.889540599352708	0.788418001396441	0.503919039587261
SNRPD3	P62318	Small nuclear ribonucleoprotein Sm D3	grey	0.922558661813676	0.867241951543312	0.763285595928512	0.525841631104789
RPL7A	P62424	60S ribosomal protein L7a	grey	0.901520523122981	0.851135094901377	0.737890543090795	0.462024294982839
POLR2G	P62487	DNA-directed RNA polymerase II subunit RPB7	grey	0.877612963234934	0.791052884514929	0.619134673979281	0.369120996284123
RPS4X	P62701	40S ribosomal protein S4, X isoform	grey	0.851941783509276	0.856119248366954	0.71741034843304	0.421724648408586
RPS6	P62753	40S ribosomal protein S6	grey	0.959359505811591	0.67067347274823	0.471031013451681	0.190414507772021
HIST1H4A	P62805	Histone H4	grey	0.907743971068509	0.830646253895136	0.696122523398566	0.473598323937063
RPS25	P62851	40S ribosomal protein S25	grey	0.882343251797207	0.863520355938912	0.748509921283605	0.455005231949773
RPL30	P62888	60S ribosomal protein L30	grey	0.964496201093517	0.901132038163033	0.767339056792536	0.460098585998197
RPL10A	P62906	60S ribosomal protein L10a	grey	0.903562404767875	0.861557204563074	0.745598860282894	0.46110817714452
RPL11	P62913	60S ribosomal protein L11	grey	0.909657602312765	0.85353564942293	0.812979240695717	0.464868625247498
RPL8	P62917	60S ribosomal protein L8	grey	0.976435657562976	0.936183790682833	0.774118497436245	0.473440330258225
TRA2B	P62995	Transformer-2 protein homolog beta	grey	0.97070884592853	0.788695192815637	0.54908238264869	0.263568745857574
RACK1	P63244	Receptor of activated protein C kinase 1	grey	0.903174895186824	0.843218412429644	0.748844685553546	0.436949618251841
YBX1	P67809	Nuclease-sensitive element-binding protein 1	grey	0.964452028011802	0.708488805970149	0.417344489244179	0.113475177304965
EEF1A1, EEF1A1P5	P68104, Q5VTE0	Elongation factor 1-alpha 1, Putative elongation factor 1-alpha-like 3	grey	0.761034243792864	0.747065965196277	0.58502780313719	0.248910920835211
TUBA1B	P68363	Tubulin alpha-1B chain	grey	0.901976160602258	0.873083561782922	0.796275923888685	0.577774024657997
NA, SARNP	H0YHG0, P82979	Uncharacterized protein, SAP domain-containing ribonucleoprotein	grey	0.918213789155148	0.682871911965243	0.329201212804207	0.0456785940937048
RPL24	P83731	60S ribosomal protein L24	grey	0.900167718233368	0.764450935129787	0.573433434287421	0.376554716675291
ERH	P84090	Enhancer of rudimentary homolog	grey	0.907874008494016	0.780980332033817	0.453333843555079	0.151449324553662
RPL19	P84098	60S ribosomal protein L19	grey	0.901441904930862	0.404605968229774	0.272261520100137	0.139066575981679
SRSF3	P84103	Serine/arginine-rich splicing factor 3	grey	0.9185667752443	0.570981166073191	0.218218632977102	0.0625530243445605
